hidden_layers,accuracy
[4],81.95121951219512
[8],86.34146341463415
[16],89.75609756097562
[32],93.65853658536587
[64],95.1219512195122
"[4, 4]",86.82926829268293
"[8, 8]",87.3170731707317
"[16, 16]",88.78048780487805
"[32, 16, 8]",92.6829268292683
